,,01,02,03,05,06&07,08,09,10.1,10.2-3,10.4,10.5,10.6,10.7,10.8,10.9,11.01-6 and 12,11.07,13,14,15,16,17,18,19,20A,20B,20C,20.3,20.4,20.5,21,22,23OTHER,23.5-6,24.1-3,24.4-5,25OTHER,25.4,26,27,28,29,30.1,30.3,30OTHER,31,32,33.15,33.16,33OTHER,35.1,35.2-3,36,37,38,39,41-43,45,46,47,49.1-2,49.3-5,50,51,52,53,55,56,58,59-60,61,62,63,64,65,66,68.1-2,68.2IMP,68.3,69.1,69.2,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87-88,90,91,92,93,94,95,96,97,38g,49.3-5g,52g,59-60g,84g,85g,86g,87-88g,90g,91g,93g,64n,68.1-2n,69.1n,72n,75n,81n,85n,86n,87-88n,90n,91n,93n,94n,,,,,,,,,,,,,
20.5,Other chemical products             ,22,3,0,8,0,7,0,43,13,4,15,15,11,102,81,7,0,3,1,10,48,135,142,87,13,147,6,15,89,691,8,58,1,50,6,5,12,56,83,0,13,22,0,0,2,18,34,0,0,17,0,0,0,36,7,3,259,71,257,192,3,31,0,2,28,4,3,38,16,70,11,21,5,7,7,2,14,0,0,4,3,2,7,44,29,33,8,5,40,1,10,147,36,0,46,8,85,31,9,61,5,0,0,71,0,0,0,4,0,12,4,254,0,0,0,0,0,0,0,1,11,19,32,6,23,14,5,1,12,"4,274",698,0,0,0,0,0,-3,0,0,30,1,"5,000"
21,Basic pharmaceutical products and pharmaceutical preparations          ,226,0,0,0,0,0,0,2,20,9,6,38,1,10,466,0,0,3,1,2,1,0,0,31,2,1,6,0,128,3,"3,992",7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,6,15,0,11,19,248,122,1,12,0,0,0,7,15,73,0,5,1,28,2,0,0,0,6,0,0,1,1,1,3,219,1,11,29,7,4,0,0,0,103,2,48,57,67,1,2,6,0,0,0,8,0,0,0,0,0,111,5,"7,271",0,0,0,0,0,0,0,2,40,0,40,42,11,1,0,0,11,"13,644","3,565",0,"4,859",0,0,0,-37,"1,278","1,722",0,0,"25,031"
22,Rubber and plastic products            ,59,0,11,1,2,7,0,115,51,10,94,14,72,166,21,6,53,47,4,10,38,162,90,6,7,30,1,23,165,60,93,"1,717",28,24,23,12,137,8,56,52,233,779,32,36,12,42,51,6,3,59,3,1,2,4,1,0,991,747,589,249,7,146,15,5,43,8,2,59,6,5,145,90,2,161,5,6,35,1,2,9,3,19,30,85,23,9,1,28,21,5,3,55,38,0,6,0,7,3,4,4,1,0,5,45,0,1,0,4,0,21,11,44,6,0,0,3,0,0,0,0,1,7,5,0,3,1,1,0,3,"8,571","2,118",0,0,0,0,0,-39,0,0,0,0,"10,650"
23OTHER,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9   ",10,0,0,1,1,34,0,1,11,0,5,1,1,23,0,83,12,0,0,0,23,4,1,2,5,23,0,5,23,7,25,115,570,66,37,30,47,3,41,27,17,280,13,4,1,2,4,1,1,14,1,0,0,1,7,0,998,74,277,72,9,13,0,6,15,2,5,21,0,2,7,11,0,0,0,0,3,0,0,1,1,0,5,25,1,4,0,2,3,0,1,24,6,0,0,0,5,1,1,2,1,0,1,8,0,0,0,3,0,15,24,5,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,1,"3,249",666,0,0,0,12,0,-52,0,0,0,0,"3,875"
23.5-6,"Cement, lime, plaster and articles of concrete, cement and plaster ",1,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,11,223,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,193,0,61,7,1,6,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,-29,0,0,0,0,566
24.1-3,Basic iron and steel            ,2,0,0,1,56,2,11,0,0,0,0,1,0,1,0,0,0,5,0,2,6,1,2,7,1,1,0,1,0,3,4,48,3,23,"1,311",58,"1,396",11,70,66,557,503,31,26,56,83,33,12,8,138,4,2,3,0,3,0,181,37,66,1,4,25,0,0,1,0,0,69,1,0,2,19,0,0,4,1,7,0,0,1,1,0,20,60,0,3,0,7,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,070",0,0,0,0,0,0,-18,0,0,0,0,"5,052"
24.4-5,Other basic metals and casting           ,94,0,0,0,11,1,2,1,12,0,0,1,1,17,0,4,0,6,0,2,7,10,6,5,8,56,8,3,8,66,38,76,73,37,110,"3,046","1,468",45,241,726,"1,035","1,116",38,399,16,61,175,10,59,267,330,60,4,3,3,0,783,77,315,89,4,39,2,7,4,12,0,57,3,0,58,67,2,1,13,0,18,0,0,4,4,1,62,175,3,7,0,15,8,0,1,14,13,0,2,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"11,636",2,0,0,0,0,-877,103,361,"1,137",0,0,"12,362"
25OTHER,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ",17,0,3,3,47,5,90,12,11,0,3,1,6,14,12,42,19,24,4,6,51,24,10,14,5,9,2,10,20,8,17,267,33,48,58,41,"1,352",21,99,135,558,841,35,309,93,19,30,5,24,139,25,7,1,1,4,0,"1,124",110,295,125,4,44,4,9,28,1,1,40,2,1,12,48,0,31,2,2,28,0,0,2,2,2,57,105,13,7,0,18,6,0,4,12,15,0,3,0,6,1,2,1,1,0,5,1,0,0,0,3,0,5,6,4,0,0,0,2,0,0,0,0,0,2,2,0,2,1,0,0,0,"6,833",695,0,0,0,"1,671",0,-112,0,0,0,0,"9,087"
25.4,Weapons and ammunition             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,319,0,0,2,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,33,0,0,0,0,0,0,0,0,0,0,539
26,"Computer, electronic and optical products           ",17,8,12,11,6,17,5,13,2,1,6,5,11,13,3,8,5,13,10,3,18,28,12,5,13,69,12,5,8,72,49,46,12,15,75,74,143,140,"2,805",549,450,734,98,240,15,16,355,22,29,557,125,54,13,15,35,1,890,176,388,119,6,115,5,26,67,23,24,119,11,75,"3,200",579,35,94,49,35,89,15,2,10,5,24,111,402,22,82,17,78,58,21,14,19,46,62,49,24,50,20,10,24,8,0,101,21,0,34,0,6,7,"4,362",499,"3,748",175,0,13,36,0,0,0,1,25,2,37,18,12,9,6,1,13,"23,500","3,937",0,0,0,"8,161",0,76,"3,482","4,718",0,0,"43,874"
27,Electrical equipment              ,14,0,0,0,24,0,6,0,0,0,1,0,1,1,0,4,1,3,1,1,4,2,2,1,0,2,0,1,2,6,6,22,7,1,7,7,55,32,468,806,429,874,23,51,15,6,63,5,6,193,302,61,2,0,6,0,732,134,289,138,3,114,3,22,29,14,1,37,1,18,190,157,3,69,6,5,25,3,1,6,2,10,45,111,20,16,0,84,15,1,11,4,16,1,7,1,6,5,3,2,1,0,37,29,0,0,0,3,0,118,18,5,9,0,2,9,0,0,0,1,0,1,5,1,2,2,1,0,2,"6,128","4,065",0,0,0,"3,865",0,-154,"1,731","2,069",0,0,"17,704"
28,Machinery and equipment n.e.c.            ,26,1,4,21,82,30,14,85,24,6,26,20,46,69,12,25,16,26,7,4,40,100,94,41,18,30,8,14,13,19,35,134,50,44,205,84,125,31,186,206,"2,016","1,400",151,281,17,33,37,23,46,385,139,44,73,5,50,0,948,505,447,75,15,73,3,9,21,6,3,81,13,23,34,116,2,43,8,5,53,0,3,9,3,10,56,175,36,21,0,81,25,0,14,8,18,1,4,3,14,0,3,1,14,0,14,2,0,0,0,3,0,105,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,0,0,1,1,"9,838",316,0,0,0,"12,662",0,-175,"1,591","3,109",0,0,"27,341"
29,"Motor vehicles, trailers and semi-trailers           ",10,1,0,1,0,7,0,6,1,0,3,1,3,1,1,7,1,13,1,2,14,2,1,1,1,10,2,1,0,3,2,90,19,11,17,22,107,37,72,37,651,"7,937",2,0,42,42,32,2,2,154,10,3,2,2,0,0,89,"1,823",176,81,1,251,1,8,44,46,2,73,1,8,20,118,2,116,22,12,28,2,1,15,6,19,132,373,42,21,0,234,33,9,88,7,57,0,14,7,27,0,2,1,14,0,11,22,0,8,0,5,0,80,2,17,36,0,1,8,0,0,0,1,0,1,12,4,9,0,0,1,2,"13,634","31,333",0,0,0,"7,654",0,-102,0,0,0,0,"52,519"
30.1,Ships and boats             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,"1,240",0,-26,0,0,0,0,"1,699"
30.3,Air and spacecraft and related machinery          ,2,0,0,0,23,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,14,23,12,5,50,11,6,"2,764",5,17,2,5,122,15,0,0,0,0,0,0,18,9,81,4,0,12,0,405,15,1,1,15,0,3,8,32,1,2,18,1,9,0,0,3,0,1,210,270,3,5,0,7,3,1,0,0,3,8,3,0,2,0,0,2,3,0,0,1,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,"4,806",62,0,0,0,"5,552",0,-58,"2,864","6,256",0,0,"19,482"
30OTHER,Other transport equipment - 30.2/4/9           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,28,0,0,0,0,10,0,0,0,0,0,0,0,1,2,1,4,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,"1,716",0,0,0,198,0,-4,0,0,0,0,"1,992"
31,Furniture               ,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,2,1,1,0,0,0,0,1,0,2,39,0,1,1,72,1,0,0,1,5,1,0,0,0,0,24,5,13,20,0,1,0,0,1,1,1,7,0,2,2,2,0,4,2,1,4,0,0,4,0,1,2,5,0,1,0,1,7,0,0,2,6,1,7,0,10,1,0,1,1,0,0,1,0,0,0,0,0,90,48,23,12,0,0,5,0,0,0,0,0,0,5,0,4,0,1,0,0,465,"3,420",0,0,0,913,478,109,0,0,0,0,"5,385"
32,Other manufactured goods             ,79,6,5,6,3,9,0,3,11,2,9,16,16,38,7,22,8,13,55,9,27,86,612,18,11,86,7,14,13,35,16,88,49,10,2,2,22,10,132,57,616,302,58,73,13,21,205,8,9,241,87,35,16,83,0,2,401,136,394,146,14,96,8,23,68,29,35,115,103,24,211,173,10,201,80,93,33,4,8,73,13,56,93,77,135,22,32,28,27,5,8,26,8,0,70,0,142,4,5,25,8,0,3,35,0,0,0,8,0,37,18,0,0,0,0,0,0,0,0,0,45,3,58,1,43,2,3,1,4,"6,906","6,668",0,0,0,816,182,20,199,301,375,345,"15,812"
33.15,Repair and maintenance of ships and boats         ,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,53
33.16,Repair and maintenance of aircraft and spacecraft         ,1,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,8,0,0,304,0,1,0,1,168,2,0,0,0,0,0,0,2,1,15,0,0,2,0,65,7,0,1,2,0,0,3,7,0,0,0,0,1,0,0,0,0,0,24,23,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,664
33OTHER,Rest of repair; Installation - 33.11-14/17/19/20          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,49,0,124,124,0,0,3,0,0,0,0,89,0,0,0,0,0,0,2,8,5,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,431
35.1,"Electricity, transmission and distribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,100,0,0,0,0,10,0,0,252,0,6,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,2,2,0,6,1,0,2,0,2,5,0,0,0,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,17,0,0,0,0,0,0,0,0,0,0,980
35.2-3,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,37
36,Natural water; water treatment and supply services         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13
37,Sewerage services; sewage sludge            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Waste collection, treatment and disposal services; materials recovery services       ",3,0,5,0,3,4,0,11,6,1,2,0,3,5,2,2,1,3,13,0,1,7,2,3,2,9,2,1,2,6,4,15,10,5,97,293,12,1,2,1,4,5,1,2,1,3,4,0,1,4,2,1,3,117,190,0,71,15,94,32,3,31,4,11,7,7,10,48,4,10,8,22,1,62,6,14,11,4,4,5,5,16,11,21,19,5,2,15,8,2,3,43,13,5,4,102,14,4,1,3,21,0,2,29,0,797,0,1,0,483,5,66,0,0,0,1,0,0,0,0,2,5,4,70,2,2,1,1,2,"3,151",61,0,0,0,0,0,0,0,0,0,0,"3,212"
39,Remediation services and other waste management services         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41-43,Construction,8,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,2,0,1,0,0,0,0,0,11,0,0,0,0,44,0,4,0,1,0,0,1,0,0,1,0,0,6,2,2,2,0,2,0,904,3,37,64,0,2,2,2,6,1,1,11,1,0,7,3,0,13,13,0,104,108,0,2,1,2,46,3,1,6,0,2,2,1,0,0,0,0,2,1,0,0,2,0,0,0,0,4,0,1,0,0,0,32,2,4,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1,514",0,0,0,0,0,0,0,0,0,0,0,"1,514"
45,Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,31,9,2,14,2,1,2,2,1,3,1,0,2,5,1,5,4,0,2,0,0,1,1,0,0,0,2,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,142,11,0,0,0,0,0,0,0,0,0,0,153
46,"Wholesale trade services, except of motor vehicles and motorcycles       ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,140,200
47,"Retail trade services, except of motor vehicles and motorcycles       ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.1-2,Rail transport services             ,1,1,1,0,34,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,2,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,2,7,2,3,1,0,0,7,0,1,2,1,2,1,1,0,4,13,2,1,0,0,0,0,0,1,2,1,0,0,2,0,5,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,330,56,120,0,0,5,14,0,0,0,0,0,0,3,0,1,0,0,0,0,653,101,0,0,0,0,0,0,0,0,5,8,767
49.3-5,"Land transport services and transport services via pipelines, excluding rail transport     ",62,1,0,6,0,39,0,33,22,1,17,10,9,26,4,30,4,53,68,1,30,82,9,31,13,93,8,6,28,29,46,106,21,8,27,61,47,2,5,55,5,100,1,43,4,16,43,0,2,6,5,1,0,0,17,0,19,19,146,20,1,15,0,1,6,4,1,14,10,0,2,8,0,7,4,4,4,0,0,2,2,2,8,16,6,1,0,6,3,2,0,6,4,0,1,1,0,0,0,0,0,0,9,2,0,2,7,1,0,10,12,14,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"1,745",0,0,0,0,64,0,0,0,0,30,45,"1,884"
50,Water transport services             ,2,0,11,1,104,3,24,2,0,0,3,6,1,2,0,14,0,3,1,0,0,4,26,11,3,10,1,1,1,8,2,5,4,8,11,3,11,2,10,3,6,18,1,4,7,2,7,0,1,7,1,1,0,1,21,0,30,36,119,15,9,18,638,17,139,42,7,25,38,6,15,10,0,35,44,16,9,0,0,0,0,4,4,7,22,5,0,12,8,48,1,6,5,0,10,0,22,1,1,2,2,0,0,2,0,0,0,16,0,18,0,10,0,0,0,0,0,0,0,0,0,1,10,0,11,0,0,0,1,"1,873",4,0,0,0,103,0,0,0,0,570,879,"3,429"
51,Air transport services             ,9,0,0,1,37,14,9,2,1,0,5,6,3,30,0,19,0,3,4,0,0,6,8,34,5,17,6,1,3,16,9,12,15,25,38,3,21,4,22,10,21,57,0,75,29,4,10,0,3,19,3,2,0,0,79,0,153,172,445,123,27,94,63,674,468,662,45,150,53,62,70,176,16,"1,410",518,69,138,0,6,76,51,182,55,50,119,45,0,108,199,106,36,30,151,3,14,0,55,24,8,28,13,14,11,29,0,0,0,49,9,210,0,35,0,0,0,0,0,0,0,0,0,1,8,2,19,11,6,1,56,"8,110","1,495",0,0,0,0,0,0,0,0,"1,040","1,517","12,162"
52,Warehousing and support services for transportation          ,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,2,1,0,0,1,2,23,0,0,0,1,1,0,5,1,2,3,0,1,0,0,1,0,0,2,0,0,0,0,0,0,9,3,42,9,10,8,589,556,44,1,0,9,0,0,2,13,0,7,2,4,3,0,0,0,1,1,1,1,1,0,0,7,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,391",8,0,0,0,0,0,0,0,0,0,0,"1,399"
53,Postal and courier services            ,1,0,0,0,1,0,0,0,0,0,0,1,0,9,0,4,1,0,0,0,0,1,1,1,0,3,0,0,4,0,11,24,0,4,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,16,12,95,27,0,7,32,51,5,460,5,21,1,4,16,34,1,184,80,79,15,0,0,20,9,9,11,5,11,3,0,13,13,0,1,5,9,0,4,1,7,1,1,1,1,0,0,4,0,0,0,1,0,88,1,13,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,"1,464",9,0,0,0,0,0,0,0,0,0,0,"1,473"
55,Accommodation services              ,18,0,0,0,0,2,5,6,18,0,4,0,0,0,4,5,3,3,2,0,6,4,2,41,2,20,2,3,3,3,4,17,5,6,15,13,1,2,10,5,19,32,0,17,0,2,3,0,1,6,37,23,4,0,6,0,294,44,163,"1,014",0,128,29,87,90,0,206,214,8,55,42,156,22,851,"1,767",167,234,0,0,96,41,138,165,49,100,81,3,24,153,137,12,81,67,10,54,7,"1,256",0,21,31,14,10,0,5,0,0,0,8,8,593,69,154,144,0,0,10,0,0,0,0,5,10,41,5,592,0,2,1,40,"10,193",495,0,0,0,0,0,0,0,0,0,0,"10,688"
56,Food and beverage serving services           ,20,0,1,1,41,0,2,84,2,2,7,15,22,43,6,3,2,3,3,1,5,7,2,12,3,19,1,2,5,5,9,15,4,5,15,5,2,11,242,6,14,27,2,12,1,4,7,0,1,32,40,22,6,0,34,0,139,38,152,992,30,24,16,102,74,8,34,236,11,32,65,67,6,260,219,5,78,0,1,26,23,28,35,34,26,11,1,10,10,9,3,13,60,1,22,0,517,18,19,7,3,7,9,6,0,0,0,5,3,520,318,379,12,0,0,0,0,0,0,0,2,2,3,0,408,5,2,0,33,"6,016",0,0,0,0,0,0,0,0,0,0,0,"6,016"
58,Publishing services              ,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,1,0,1,0,15,88,0,1,0,1,3,1,1,4,12,1,0,0,0,3,0,0,1,4,3,0,1,5,0,7,0,0,2,2,1,1,0,1,0,3,3,28,25,0,0,0,1,4,2,0,5,58,1,8,42,3,35,4,5,1,0,0,2,0,17,4,2,30,7,0,1,3,0,2,0,34,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,11,27,0,6,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,559,"1,851",0,0,0,0,0,-15,0,0,0,0,"2,395"
59-60,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,430,0,6,1,0,0,0,0,0,0,0,0,3,0,2,162,0,0,0,0,0,0,0,0,0,7,2,1,22,33,1,30,1,0,0,0,5,0,0,125,52,38,4,10,6,11,40,0,0,0,0,0,0,7,1,0,6,1,2,6,"1,029",404,0,0,0,0,0,-2,0,0,0,0,"1,431"
61,Telecommunications services              ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,301,3,19,49,0,3,19,29,4,5,2,23,1,10,"3,916",73,0,25,10,13,3,3,0,3,2,6,4,53,12,4,0,25,22,1,1,6,18,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,18,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,736",8,0,0,0,0,0,0,0,0,0,0,"4,744"
62,"Computer programming, consultancy and related services          ",0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,7,1,0,0,1,13,1,12,6,0,0,0,2,5,48,0,0,3,0,75,3,73,1,5,26,0,3,11,0,16,0,0,44,4,2,1,0,1,0,63,19,476,0,3,4,7,8,3,4,4,11,47,5,96,917,133,31,16,19,22,0,0,0,20,158,33,31,28,46,0,4,130,3,20,21,111,0,10,3,2,1,0,0,7,0,97,240,0,0,0,1,0,23,1,4,2,0,0,3,0,0,0,0,0,3,3,2,0,0,0,1,1,"3,270",7,0,0,0,"1,011",0,5,0,0,0,0,"4,293"
