,,01,02,03,05,06&07,08,09,10.1,10.2-3,10.4,10.5,10.6,10.7,10.8,10.9,11.01-6 and 12,11.07,13,14,15,16,17,18,19,20A,20B,20C,20.3,20.4,20.5,21,22,23OTHER,23.5-6,24.1-3,24.4-5,25OTHER,25.4,26,27,28,29,30.1,30.3,30OTHER,31,32,33.15,33.16,33OTHER,35.1,35.2-3,36,37,38,39,41-43,45,46,47,49.1-2,49.3-5,50,51,52,53,55,56,58,59-60,61,62,63,64,65,66,68.1-2,68.2IMP,68.3,69.1,69.2,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87-88,90,91,92,93,94,95,96,97,38g,49.3-5g,52g,59-60g,84g,85g,86g,87-88g,90g,91g,93g,64n,68.1-2n,69.1n,72n,75n,81n,85n,86n,87-88n,90n,91n,93n,94n,,,,,,,,,,,,,
10.4,Vegetable and animal oils and fats          ,2,0,0,0,0,0,0,59,49,325,14,17,65,115,146,0,1,0,0,1,0,0,0,14,2,7,0,13,16,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,56,53,0,2,1,3,2,13,15,51,0,1,0,3,0,17,2,0,1,0,0,1,1,11,1,5,1,4,0,1,12,0,1,4,8,0,9,3,140,0,1,1,0,0,0,4,0,0,0,0,0,1,0,7,8,0,0,0,0,0,0,0,0,1,7,2,53,0,0,0,2,"1,378",513,0,0,0,0,0,-1,0,0,0,0,"1,890"
10.5,Dairy products              ,1,0,0,0,1,0,0,8,7,5,128,3,36,58,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,38,59,1,2,1,1,1,2,18,47,0,2,3,2,0,28,1,1,1,0,0,0,0,3,1,2,1,1,0,1,3,0,0,1,2,0,4,1,8,0,1,1,1,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,524,"2,418",0,0,0,0,0,66,0,0,0,0,"3,008"
10.6,"Grain mill products, starches and starch products         ",0,0,0,0,0,0,0,23,14,10,5,276,109,93,42,40,0,0,0,0,0,13,0,0,0,0,0,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93,6,0,1,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,763,583,0,0,0,0,0,9,0,0,0,0,"1,355"
10.7,Bakery and farinaceous products            ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,37,69,0,0,1,0,1,1,21,57,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,224,"1,793",0,0,0,0,0,-8,0,0,0,0,"2,009"
10.8,Other food products             ,3,0,0,0,0,0,0,30,28,4,34,23,123,440,33,14,31,0,0,0,0,0,1,0,1,1,0,0,40,7,15,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,112,53,0,4,4,2,20,2,13,42,0,2,3,5,0,89,1,22,3,0,0,0,0,3,2,7,1,1,0,2,4,0,0,2,40,0,4,0,10,0,2,2,1,0,0,15,0,0,0,2,0,0,2,10,7,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,"1,349","5,173",0,0,0,0,0,47,0,0,0,0,"6,569"
10.9,Prepared animal feeds             ,249,0,11,0,0,0,0,11,2,1,1,2,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,4,3,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,369,518,0,0,0,0,0,7,0,0,0,0,894
11.01-6 and 12,Alcoholic beverages & Tobacco products        ,3,0,0,0,0,0,0,0,2,1,1,8,1,10,35,242,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,171,115,2,1,9,8,27,6,"1,781","4,677",0,17,7,2,1,34,3,4,2,0,0,5,4,11,0,6,17,5,0,3,19,4,2,5,25,0,1,0,35,5,4,18,11,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,71,"7,468","3,248",0,0,0,0,0,-44,0,0,0,0,"10,672"
11.07,Soft drinks              ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,11,1,1,0,2,7,5,22,84,0,15,3,1,1,10,1,1,1,0,0,2,1,3,0,2,5,2,0,0,5,1,0,2,4,0,4,0,4,3,3,7,12,1,0,0,0,0,0,1,4,1,2,0,8,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,5,271,917,0,0,0,0,0,3,0,0,0,0,"1,191"
13,Textiles               ,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,002",352,24,1,33,2,0,0,12,0,0,13,13,0,79,0,7,1,0,3,1,2,0,2,105,0,7,0,51,38,0,1,8,0,0,0,0,0,0,116,50,230,134,1,17,1,3,10,5,10,39,2,4,3,17,0,31,4,0,23,2,1,5,0,5,5,13,4,5,0,11,6,0,0,11,9,0,9,0,16,3,2,4,1,0,0,40,0,0,0,0,0,6,4,51,0,0,0,4,0,0,0,0,1,1,7,0,4,1,1,0,2,"2,727","2,835",0,0,0,0,0,-307,0,0,0,0,"5,255"
14,Wearing apparel              ,0,2,0,0,25,0,3,0,0,0,0,0,5,1,0,0,0,2,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,73,13,26,22,1,3,0,10,2,6,21,33,0,7,10,18,1,22,13,9,4,1,0,3,4,9,7,13,3,6,0,10,22,1,5,29,6,5,14,0,52,3,1,5,2,2,0,19,0,9,0,0,0,340,47,186,26,0,0,3,0,0,0,0,0,3,15,0,11,1,1,0,2,"1,326","19,747",0,0,0,165,0,-80,0,0,0,0,"21,158"
