iter,	useweight,	phase2,	temp
 80,5.0,0.3,0.23
year,headings,P0,P1,P2,P3,P4
1,flow matrix
1,P0,0.0,0.0,2.1409673002022602,0.0,0.0
1,P1,0.0,2.271179528877694,0.0,0.8932212390670546,0.0
1,P2,2.61767039687152,2.271179528877694,0.0,0.0,0.0
1,P3,0.0,0.0,2.1409673002022602,0.0,0.0
1,P4,2.61767039687152,0.0,0.0,0.0,2.94
1,labour,5.23534079374304,3.0282393718369254,6.422901900606781,6.2525486734693825,1.96
1,output,6.976995834532469,8.898411630069116,14.073400390320664,7.102428705972055,14.833093367263656
1,productive consumption  ,0.0000,2.1410,3.1644,4.8888,2.1410,
1,accumulation ,0.006291577720890729,0.002083777890213856,0.006674465342038971,0.004290040126686989
1,netoutput ,4.8297369566093185,5.731927084234154,9.17787599922941,4.957171365643108,9.264398742462884
1,target  ,3.377499828338623,3.9175000286102293,6.309999713897705,3.4824997282028196,6.520000228881836
1,netoutput/target  ,1.42997400505718,1.463159423707167,1.4544970547328615,1.4234520466714602,1.420920002644188
1,harmony  ,0.3576562658248967,0.38059808650932336,0.37466017401663215,0.35308494024999953,0.3513045510096272
1,capital use matrix
1,P0,1.7451135979143466,0.0,2.1409673002022602,1.7864424781341093,0.0
1,P1,0.0,2.271179528877694,0.0,0.0,0.0
1,P2,6.107897592700213,5.2994189007146195,0.0,5.359327434402328,0.0
1,P3,0.0,0.0,4.995590367138607,1.7864424781341093,0.0
1,P4,2.61767039687152,4.542359057755388,4.2819346004045205,1.7864424781341093,6.859999999999999

2,flow matrix
2,P0,0.0,0.0,2.1578527416674493,0.0,0.0
2,P1,0.0,2.28702082161223,0.0,0.9004689283614276,0.0
2,P2,2.6308215025441757,2.28702082161223,0.0,0.0,0.0
2,P3,0.0,0.0,2.1578527416674493,0.0,0.0
2,P4,2.6308215025441757,0.0,0.0,0.0,2.7765685981013672
2,labour,5.261643005088351,3.049361095482973,6.473558225002348,6.303282498529993,1.8510457320675782
2,output,7.012048073961572,8.960477328404279,14.18439488261603,7.160058545305125,14.008537842261884
2,productive consumption  ,0.0000,2.1579,3.1875,4.9178,2.1579,
2,accumulation ,0.006117618675816061,0.0020410654747147206,0.006672052017636432,0.004243886905109129
2,netoutput ,4.848077713618307,5.7709465129559065,9.259880506441988,4.997961916732566,8.59018284508143
2,target  ,3.411174783706665,3.9565751647949217,6.372999439239502,3.517224678993225,6.585099945068359
2,netoutput/target  ,1.4212340384242252,1.4585711815372595,1.4529862421495805,1.4209959194768274,1.3044878463104717
2,harmony  ,0.3515255353593687,0.37745731375403957,0.37362091596078617,0.3513579775252159,0.26581050880955975
2,capital use matrix
2,P0,1.753881001696117,0.0,2.1578527416674493,1.8009378567228551,0.0
2,P1,0.0,2.28702082161223,0.0,0.0,0.0
2,P2,6.13858350593641,5.336381917095203,0.0,5.402813570168565,0.0
2,P3,0.0,0.0,5.034989730557381,1.8009378567228551,0.0
2,P4,2.6308215025441757,4.57404164322446,4.315705483334899,1.8009378567228551,6.478660062236523

3,flow matrix
3,P0,0.0,0.0,2.1540687528184934,0.0,0.0
3,P1,0.0,2.2570895033981504,0.0,0.8483034028156718,0.0
3,P2,2.582316803701335,2.2570895033981504,0.0,0.0,0.0
3,P3,0.0,0.0,2.1540687528184934,0.0,0.0
3,P4,2.582316803701335,0.0,0.0,0.0,2.5446078403496117
3,labour,5.16463360740267,3.009452671197534,6.46220625845548,5.938123819709703,1.6964052268997412
3,output,6.882766296474915,8.84320734304514,14.1595212705161,6.745265535585301,12.83823322414181
3,productive consumption  ,0.0000,2.1541,3.1054,4.8394,2.1541,
3,accumulation ,0.005859846760653653,0.0019855620839646093,0.00666024155620093,0.00416008061770512
3,netoutput ,4.722837696895768,5.735828874747353,9.313454721860413,4.587036702149103,7.700462712536589
3,target  ,3.4451866245269773,3.9960408306121824,6.436629304885864,3.5522968864440916,6.650851259231567
3,netoutput/target  ,1.3708510486116878,1.4353779447915802,1.446945952719513,1.2912875383962636,1.1578161069003208
3,harmony  ,0.3154317503392869,0.3614281906955518,0.36945509568674884,0.25563981239121025,0.146535564209049
3,capital use matrix
3,P0,1.7215445358008898,0.0,2.1540687528184934,1.6966068056313437,0.0
3,P1,0.0,2.2570895033981504,0.0,0.0,0.0
3,P2,6.0254058753031146,5.266542174595685,0.0,5.089820416894031,0.0
3,P3,0.0,0.0,5.026160423243151,1.6966068056313437,0.0
3,P4,2.582316803701335,4.514179006796301,4.308137505636987,1.6966068056313437,5.937418294149094

4,flow matrix
4,P0,0.0,0.0,2.1137153124811823,0.0,0.0
4,P1,0.0,2.236863634954458,0.0,0.7892811254127973,0.0
4,P2,2.367420714472531,2.236863634954458,0.0,0.0,0.0
4,P3,0.0,0.0,2.1137153124811823,0.0,0.0
4,P4,2.367420714472531,0.0,0.0,0.0,2.3673950818184055
4,labour,4.734841428945062,2.982484846605944,6.341145937443546,5.524967877889581,1.578263387878937
4,output,6.309993986714837,8.763963011763,13.894262607789095,6.2759512168216025,11.94414703599088
4,productive consumption  ,0.0000,2.1137,3.0261,4.6043,2.1137,
4,accumulation ,0.005006530891612293,0.001786439710419696,0.00659953689294035,0.003847614264048893
4,netoutput ,4.191272143342043,5.736031811685325,9.283378721469166,4.158388290076371,7.199143286931259
4,target  ,3.479538569450378,4.035901317596435,6.5008957481384275,3.5877199268341062,6.717259893417358
4,netoutput/target  ,1.2045482639969958,1.421251750303299,1.4280153199084173,1.1590615697100517,1.071738089810419
